unresolved_name,n_sources,tier,suggested_canonical,all_candidates,sources_referencing,synonyms_from_sources,grin_accession_id,action,notes
CARINA (AUSTRALIE),4,tier3,CARINA,CARINA,lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
CHAOUCH ROSE,4,tier3,CHAOUCH BLANC,CHAOUCH BLANC | BLACK ROSE | CHASSELAS ROSE | OLIVETTE ROSE | CHAOUCH ROZOVYI | FERNAND ROSE | LAST ROSE | NIAGARA ROSE | SOVEREIGN ROSE | ROSE CIOTAT,vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
CORASON DE KABRITTE BLANC,4,tier3,CORASON DE KABRITTE,CORASON DE KABRITTE | CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC | PINOT BLANC | SEYVAL BLANC | TERRET BLANC | VILLARD BLANC,lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
DORONA DI VENEZIA,4,tier3,DORONA VENEZIANA,DORONA VENEZIANA,vivc confirmed; lacombe 2013; lac emanuelli 2020; ssr lacombe,,,,
GROS MANSENG,4,tier3,MANSENG GROS BLANC,MANSENG GROS BLANC | MANSENG GROS DE LUCQ | MANSENG GROS MEUNIER | GROS CABERNET | MAROC GROS | MANSENG NOIR | GROS BEC | GROS MANSOIS | GROS COURBU DE SEMIS | MANSENG PETIT BLANC,vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
MOLINERA GORDA,4,tier3,MOLINERA,MOLINERA | GARNACHA GORDA,vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
MOURISCO TINTO = MARUFO,4,tier3,MOURISCO DE SEMENTE,MOURISCO DE SEMENTE | MARUFO | TINTO CAO | DONZELINHO TINTO | PRIETO PICUDO TINTO | QUIEBRATINAJAS TINTO | JAEN TINTO | TINTA TINTO | BRUNOL TINTO | CARREGA TINTO,vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
MUSCAT D'EISENSTADT,4,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL,vivc confirmed; lacombe 2013; lac emanuelli 2020; laucou 2018,,,,
OPSIMO EDESSIS,4,tier3,OPSIMOS EDESSIS,OPSIMOS EDESSIS | OPSIMO ASPRO | OPSIMO TRAGANO | OPSIMO PROSSOTSANIS,lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
PORTUGAIS BLEU,4,tier3,MUSCAT BLEU,MUSCAT BLEU | OISEAU BLEU | SOVEREIGN BLEU | MUSCAT ALEXANDRIE BLEU | RIPARIA PUBESCENT BLEU | OISEAU BLEU (NON IDENTIFIED),lacombe 2013; lac emanuelli 2020; laucou 2018; ssr lacombe,,,,
POZSONYI FEHER,4,tier3,LISZTES FEHER,LISZTES FEHER | POZSONYI | HARS FEHER | TODOR FEHER | GYOENGY FEHER | KADARKA FEHER | KAVACSI FEHER | OSZTRAK FEHER | VALLASI FEHER | CZOLLNER FEHER,vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
ROSA MENNA DI VACCA,4,tier3,MENNA DI VACCA BIANCA,MENNA DI VACCA BIANCA | MANZONI ROSA | MOSCATEL ROSA | ROSA DEL PERU | ROSA | UVA ROSA | FIANO ROSA | MARIA ROSA | PANSA ROSA | ROSA LINDA,vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
VERDECA = LAGORTHI,4,tier3,LAGORTHI,LAGORTHI | LAGORTHI B | LAGORTHI C,vivc confirmed; lacombe 2013; laucou 2018; ssr lacombe,,,,
ABOUHOU = ASSERGHIN,3,tier3,ABOUHOU,ABOUHOU,vivc confirmed; lacombe 2013; ssr lacombe,,,,
ALPHONSE LAVALLÉE,3,tier3,ALPHONSE LAVALLEE,ALPHONSE LAVALLEE | RUPESTRIS ALPHONSE DE SERRES | ALPHONSE | ALPHONSE BLANC | ALPHONSE LAVALLEE (4N),lacombe 2013; laucou 2018; ssr lacombe,,,,
ANGELO LONGO = PIROVANO 101,3,tier3,ANGELO PIROVANO,ANGELO PIROVANO | ANGELO LONGO | MARIA PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,vivc confirmed; lacombe 2013; ssr lacombe,,,,
ASSWAD ABOU KHISLÉ,3,tier3,ASSWAD ABOU KHISLE,ASSWAD ABOU KHISLE | ASSWAD ABOU GHABRA | ASSWAD ANOUNI | ASSWAD KARI | ABLAK ASSWAD | ABOU OUTHOUK | ASSWAD TAWIL | SALTI ASSWAD | ASSWAD KARECH | ASSWAD KOUPTI,lacombe 2013; laucou 2018; ssr lacombe,,,,
AÏN EL BOUMA,3,tier3,AIN EL BOUMA,AIN EL BOUMA,lacombe 2013; laucou 2018; ssr lacombe,,,,
BARLINKA FAUX (ALMERIA),3,tier3,BARLINKA FAUX,BARLINKA FAUX | BARLINKA | CEAUS ROZ FAUX | DIAGALVES FAUX | KARASAKIS FAUX | KIZIL SAPAK FAUX | GORA CHIRINE FAUX | PETIT VERDOT FAUX | ZRINYI ILONA FAUX | ALICANTE BLANC FAUX,lacombe 2013; lac emanuelli 2020; laucou 2018,,,,
BASTARDO MAGARATCHSKII,3,tier3,BASTARDO ESPANHOL,BASTARDO ESPANHOL | BASTARDO BLANCO | BASTARDO BRANCO | BASTARDO MAGARACHSKII | BASTARDO DOS FRADES DE BOLONIO | BASTARDO ROXO | TINTO BASTARDO | BASTARDO DE MUNEDO | CAGNULARI BASTARDO,lacombe 2013; lac emanuelli 2020; laucou 2018,,,,
BEREGI ROZSAS,3,tier3,BEREGI ALDAS,BEREGI ALDAS | BEREGI ROZSA | BEREGI MENYECSKE,vivc confirmed; lacombe 2013; ssr lacombe,,,,
BLANC DE RHAFSAÏ,3,tier3,CHARDONNAY BLANC,CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC | PINOT BLANC | SEYVAL BLANC | TERRET BLANC | VILLARD BLANC | BALZAC BLANC,lacombe 2013; laucou 2018; ssr lacombe,,,,
BLANK BLAUER = VULPEA,3,tier3,VULPEA,VULPEA | FRUEHER BLAUER WAELSCHER X FARBTRAUBE NR. 4 | BLANK WEISS | VULPEA FAUX | BLAUER GROSSER | BLAUER TWANNER | JACOBIN BLAUER,vivc confirmed; lacombe 2013; ssr lacombe,,,,
BOUTEILLAN NOIR = QUAGLIANO,3,tier3,PINOT NOIR,PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR | JURANCON NOIR,lacombe 2013; oliveira 2020; ssr lacombe,,,,
CORNET = BAUDE,3,tier3,CORNET NOIR,CORNET NOIR,vivc confirmed; lacombe 2013; ssr lacombe,,,,
FURJMONY FEHER,3,tier3,LISZTES FEHER,LISZTES FEHER | HARS FEHER | TODOR FEHER | GYOENGY FEHER | KADARKA FEHER | KAVACSI FEHER | OSZTRAK FEHER | VALLASI FEHER | CZOLLNER FEHER | CSERSZEGI FEHER,vivc confirmed; lacombe 2013; ssr lacombe,,,,
GORDIN = ALIMCHAK,3,tier3,GORDIN,GORDIN | GORDIN VERDE,vivc confirmed; lacombe 2013; ssr lacombe,,,,
GOUAIS BLANC = HEUNISCH WEISS,3,tier3,HEUNISCH WEISS,HEUNISCH WEISS | HEUNISCH WEISS SEEDLESS,vivc confirmed; lacombe 2013; oliveira 2020,,,,
GRAND NOIR DE LA CALMETTE,3,tier3,GRAND NOIR,GRAND NOIR | PINOT NOIR | GAMAY NOIR | MERLOT NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR | JURANCON NOIR,lacombe 2013; laucou 2018; ssr lacombe,,,,
GRENACHE = GARNACHA,3,tier3,GARNACHA TINTA,GARNACHA TINTA | GARNACHA ROJA | GRENACHE GROS | GRENACHE VELU | GARNACHA GORDA | GARNACHA BLANCA | GARNACHA DORADA | GARNACHA PELUDA | GRENACHE NOIR A FLEURS FEMELLES,vivc confirmed; lacombe 2013; ssr lacombe,,,,
HOUSSEIN ROUGE,3,tier3,GREC ROUGE,GREC ROUGE | CHASSELAS ROUGE | PETIT ROUGE | ROUGE DU PAYS | ALIGOTE ROUGE | CANDOLLE ROUGE | MUSCAT ROUGE DE MADERE | ROUGE | CEP ROUGE | FAY ROUGE,lacombe 2013; laucou 2018; ssr lacombe,,,,
HUEVO DE GATO NEGRO,3,tier3,HUEVO DE GATO,HUEVO DE GATO | NEGRO AMARO | MANTO NEGRO | BREVAL NEGRO | ROJAL NEGRO | LISTAN NEGRO | GEAN NEGRO | GRAN NEGRO | ABOQUEL NEGRO | ENCIN NEGRO I,vivc confirmed; lacombe 2013; ssr lacombe,,,,
IRSAY OLIVER,3,tier3,IRSAI OLIVER,IRSAI OLIVER,lacombe 2013; lac emanuelli 2020; ssr lacombe,,,,
ITALIA = PIROVANO 65,3,tier3,ITALIA,ITALIA | MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6,vivc confirmed; lacombe 2013; ssr lacombe,,,,
KALECIK SIYAHI,3,tier3,DEGIRMENDERE SIYAHI,DEGIRMENDERE SIYAHI | URLA SIYAHI | ANTEP SIYAHI | CESME SIYAHI | HATAY SIYAHI | IZMIR SIYAHI | KOWAK SIYAHI | KOZAK SIYAHI | NIGDE SIYAHI | TOKAT SIYAHI,vivc confirmed; lacombe 2013; ssr lacombe,,,,
KHOUSSAÏNÉ BLANC,3,tier3,CHARDONNAY BLANC,CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC | PINOT BLANC | SEYVAL BLANC | TERRET BLANC | VILLARD BLANC | BALZAC BLANC,lacombe 2013; laucou 2018; ssr lacombe,,,,
KIZIL YAKDONA,3,tier3,KIZIL SAPAK FAUX,KIZIL SAPAK FAUX | YAKDONA KIZYL | DIK KIZIL UEZUEM | YAKDONA | IRI KIZIL | KIZIL BOZ | KIZIL ATIM | OBAK KIZIL | ANNAT KIZIL | KIZIL SAPAK,lacombe 2013; laucou 2018; ssr lacombe,,,,
KOKOUR BELY,3,tier3,POJONI BELY,POJONI BELY | KAIRAKI BELY | ZELENIAN BELY | KROKONATE BELY | LAZAREVSKY BELY | CROUSHEVSKI BELY,vivc confirmed; lacombe 2013; ssr lacombe,,,,
KOUTSOUMBELI ASPRO,3,tier3,AIDANI ASPRO,AIDANI ASPRO | KOUTSOUMBELI | OPSIMO ASPRO | KORITHI ASPRO | XERICHI ASPRO | AITONYCHI ASPRO | ASPRO KOMOTINIS | HEPTAKILO ASPRO | KOMOTINIS ASPRO | KOUMENATO ASPRO,vivc confirmed; lacombe 2013; ssr lacombe,,,,
LADIKINO = PSAROSSYRIKO,3,tier3,LADIKINO,LADIKINO,vivc confirmed; lacombe 2013; laucou 2018,,,,
LISTAN = PALOMINO FINO,3,tier3,PALOMINO FINO,PALOMINO FINO | LISTAN NEGRO | LISTAN PRIETO | GARRIDO FINO | LISTAN 1495 | LISTAN ROSA | LISTAN GACHO | LISTAN BRANAS | MOSCATEL FINO | PALOMINO NEGRO,vivc confirmed; lacombe 2013; ssr lacombe,,,,
MISGULI KARA,3,tier3,GUZAL KARA,GUZAL KARA | KARA UZYUM NUKHURSKII | BOR KARA | ASYL KARA | ALACA KARA | BASAR KARA | CATAL KARA | ALLONE KARA | DIMRIT KARA | DINGIL KARA,vivc confirmed; lacombe 2013; ssr lacombe,,,,
MUSCAT DE HAMBOURG,3,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH | MUSCAT LIERVAL,vivc confirmed; lacombe 2013; ssr lacombe,,,,
MUSCAT VIRA,3,tier3,MUSCAT OTTONEL,MUSCAT OTTONEL | MUSCAT HAMBURG | EARLY MUSCAT | GOLDEN MUSCAT | MUSCAT OF ALEXANDRIA | RANNII VIRA | MUSCAT A PETITS GRAINS BLANCS | NEW YORK MUSCAT | MUSCAT FLEUR D'ORANGER | MUSCAT MIKVEH,lacombe 2013; liang 2019; ssr lacombe,,,,
NEGRA MOLE = MOLLAR,3,tier3,NEGRA MOLE BRANCA,NEGRA MOLE BRANCA | NEGRA MOLE RASTEIRA | NEGRA MOLE TREPADEIRA | NEGRA MOLE ENCARRAPITUDE | MOLLAR CANO | NEGRA DORADA | NEGRA RAYADA | NEGRA TARDIA | ALVARIN NEGRA | MOLLAR DE ICA,vivc confirmed; lacombe 2013; ssr lacombe,,,,
NÉGRET CASTRAIS,3,tier3,NEGRET CASTRAIS,NEGRET CASTRAIS,lacombe 2013; laucou 2018; ssr lacombe,,,,
PETIT COURBU,3,tier3,COURBU PETIT,COURBU PETIT | BOUSCHET PETIT | PETIT VERDOT FAUX | GROS COURBU DE SEMIS | PETIT NOIR | PETIT ROUGE | COURBU BLANC | MESLIER PETIT | MANSENG PETIT BLANC | ARAMON PETIT,vivc confirmed; lacombe 2013; ssr lacombe,,,,
PETIT MESLIER,3,tier3,MESLIER PETIT,MESLIER PETIT | BOUSCHET PETIT | MESLIER SAINT FRANCOIS | MESLIER NOIR | PETIT VERDOT FAUX | PETIT NOIR | PETIT ROUGE | MANSENG PETIT BLANC | ARAMON PETIT | BECLAN PETIT,vivc confirmed; lacombe 2013; ssr lacombe,,,,
RAZACHIE ROSIE,3,tier3,COARNA ROSIE,COARNA ROSIE | ROSIE | MALAGA ROSIE | MAJARCA ROSIE | RAZACHIE ALBA | BRAGHINA ROSIE | PERLA MARE ROSIE | GRASA ROSIE SCHILLER,vivc confirmed; lacombe 2013; ssr lacombe,,,,
REINE DES VIGNES,3,tier3,A LA REINE,A LA REINE | REINE,vivc confirmed; lacombe 2013; laucou 2018,,,,
SOROK LET OKTIABRIA,3,tier3,SOROK LYET OKTYABRYA,SOROK LYET OKTYABRYA,lacombe 2013; laucou 2018; ssr lacombe,,,,
TINTA GROSSA D'ALENTEJO,3,tier3,SCHIAVA GROSSA,SCHIAVA GROSSA | TINTA BARROCA | GARNACHA TINTA | FORCALLAT TINTA | TINTA FRANCISCA | ROJAL TINTA | TINTA POMAR | TINTA TINTO | ANADIA TINTA | TINTA AGUIAR,vivc confirmed; lacombe 2013; ssr lacombe,,,,
TZIMLIANSKY BELYI,3,tier3,KHALILI BELYI,KHALILI BELYI | KOKURDES BELYI | KOKUR BELYI | SATENI BELYI | SHAANI BELYI | BULANYI BELYI | ARAKSENI BELYI | KHUSAINE BELYI | ECHKE MEME BELYI | SUKHOLIMANSKII BELYI,vivc confirmed; lacombe 2013; ssr lacombe,,,,
URBAN BLAU = SCHIAVA GENTILE,3,tier3,SCHIAVA GENTILE,SCHIAVA GENTILE,lacombe 2013; oliveira 2020; ssr lacombe,,,,
VALENCI BLANCO = BEBA,3,tier3,VERDEJO BLANCO,VERDEJO BLANCO | BEBA | PALO BLANCO | CAINO BLANCO | VALENCI TINTO | ABOQUEL BLANCO | DE JOSE BLANCO | DIRECTO BLANCO | BASTARDO BLANCO | LOUREIRO BLANCO,vivc confirmed; lacombe 2013; ssr lacombe,,,,
VELTELINER ROUGE,3,tier3,GREC ROUGE,GREC ROUGE | CHASSELAS ROUGE | PETIT ROUGE | ROUGE DU PAYS | ALIGOTE ROUGE | CANDOLLE ROUGE | MUSCAT ROUGE DE MADERE | ROUGE | CEP ROUGE | FAY ROUGE,vivc confirmed; lacombe 2013; ssr lacombe,,,,
1202 COUDERC,2,tier3,COUDERC 1202,COUDERC 1202 | COUDERC 3309 | COUDERC 3 | COUDERC 1613 | COUDERC 1616 | COUDERC 3306 | COUDERC 161- 49 | COUDERC 2 | COUDERC 13 | COUDERC 17,vivc confirmed; ssr migliaro,,,,
140 RUGGERI,2,tier3,RUGGERI 140,RUGGERI 140 | RUGGERI 2 | RUGGERI 3 | RUGGERI 6 | RUGGERI 7 | RUGGERI 8 | RUGGERI 10 | RUGGERI 14 | RUGGERI 16 | RUGGERI 19,vivc confirmed; ssr migliaro,,,,
AG ISIOUM,2,tier3,ATT ISIOUM,ATT ISIOUM | KARA ISIOUM,lac emanuelli 2020; laucou 2018,,,,
ALARIJE = SUBIRAT PARENT,2,tier3,ALARIJE,ALARIJE,lacombe 2013; ssr lacombe,,,,
ALICANTE BRANCO TYPE 2,2,tier3,ALICANTE GANZIN,ALICANTE GANZIN | ALICANTE HENRI BOUSCHET | BOAL BRANCO | BLACK ALICANTE | ALICANTE BLANC FAUX | BAILEY ALICANTE A | DONZELINHO BRANCO | ALICANTE BOUSCHET 7 | CARREGA BRANCO | CASTELO BRANCO,lacombe 2013; ssr lacombe,,,,
AMARAL = CAIÑO LONGO,2,tier3,AMARAL,AMARAL | ANGELO LONGO | AMARAL BRANCO | CAINO LONGO 1 | CAINO LONGO 2 | AMARAL DE BAIAO,lacombe 2013; ssr lacombe,,,,
ANGOOR KALAN,2,tier3,ANGUR KALAN,ANGUR KALAN,vivc confirmed; lacombe 2013,,,,
AROMATICA = PIROVANO 393,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | MALVASIA DI CANDIA AROMATICA | PIROVANO 5 | PIROVANO 190 | AROMATICA | PIROVANO 1 | PIROVANO 17 | AROMATICA ROSE | MALVASIA AROMATICA DI PARMA,lacombe 2013; ssr lacombe,,,,
ARPAD = EVÊQUE PROHASZKA,2,tier3,ARPAD,ARPAD,lacombe 2013; ssr lacombe,,,,
ASSOUAD ANOUNI,2,tier3,ASMI ASSOUAD,ASMI ASSOUAD | ASSWAD ANOUNI | SEBAI ASSOUAD,lacombe 2013; ssr lacombe,,,,
ASSYL KARA,2,tier3,GUZAL KARA,GUZAL KARA | KARA UZYUM NUKHURSKII | BOR KARA | ASYL KARA | ALACA KARA | BASAR KARA | CATAL KARA | ALLONE KARA | DIMRIT KARA | DINGIL KARA,vivc confirmed; ssr lacombe,,,,
AURORA BLANC = CG 91‐560,2,tier3,CHARDONNAY BLANC,CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC | PINOT BLANC | SEYVAL BLANC | TERRET BLANC | VILLARD BLANC | BALZAC BLANC,lacombe 2013; ssr lacombe,,,,
AÏDA = PIROVANO 233,2,tier3,MARIA PIROVANO,MARIA PIROVANO | ANGELO PIROVANO | PIROVANO 5 | PIROVANO 190 | PIROVANO 1 | PIROVANO 17 | PIROVANO 3 | PIROVANO 4 | PIROVANO 6 | PIROVANO 8,lacombe 2013; ssr lacombe,,,,
AÏT HAMAMA,2,tier3,AIT HAMAMA,AIT HAMAMA | ABDERAZAK BEN HAMAMA,lacombe 2013; ssr lacombe,,,,
BACCHUS BIDAULT,2,tier3,BACCHUS WEISS,BACCHUS WEISS | BACCHUS NOIR | BACCHUS BLACK | MUSCAT BIDAULT | COT ROUGE BIDAULT | BACCHUS WEISS (4N),lacombe 2013; ssr lacombe,,,,
BAKATOR TÜDÖSZINÜ FAUX,2,tier3,BAKATOR TUEDOESZINUE FAUX,BAKATOR TUEDOESZINUE FAUX | CEAUS ROZ FAUX | DIAGALVES FAUX | KARASAKIS FAUX | KIZIL SAPAK FAUX | GORA CHIRINE FAUX | PETIT VERDOT FAUX | ZRINYI ILONA FAUX | ALICANTE BLANC FAUX | CATARRATTO BIANCO FAUX,lacombe 2013; ssr lacombe,,,,
BALOUZME = MOUHAMADI,2,tier3,BALOUZME,BALOUZME,lacombe 2013; ssr lacombe,,,,
BARESANA = KORITHI ASPRO,2,tier3,KORITHI ASPRO,KORITHI ASPRO | AIDANI ASPRO | KORITHI ROSE | OPSIMO ASPRO | BARESANA NERA | BARESANA ROSA | KORITHI MAVRO | XERICHI ASPRO | AITONYCHI ASPRO | ASPRO KOMOTINIS,lacombe 2013; ssr lacombe,,,,
BEAUSOLEIL = VIDAL 83 T,2,tier3,VIDAL 19,VIDAL 19 | VIDAL 49 | VIDAL 98 T | VIDAL 99 T | VIDAL 36 | VIDAL 117 | VIDAL 662 | VIDAL 678 | BEAUSOLEIL | VIDAL BLANC,lacombe 2013; ssr lacombe,,,,
BELLE DE CEGLED,2,tier3,BELLE DENISE,BELLE DENISE | CEGLED SZEPE | BELLE PERLE | KARROO BELLE | CAROLINA BELLE | BEAUTE DE CEGLED | RIPARIA BELLE SOUCHE,lacombe 2013; ssr lacombe,,,,
BICZÖ EGON,2,tier3,BICZO EGON,BICZO EGON,lacombe 2013; ssr lacombe,,,,
BIDH HAMEN DE RAFRAF,2,tier3,BIDH EL H'MEM (RAF RAF),BIDH EL H'MEM (RAF RAF) | MESKI RAFRAF | BIDH EL H'MEM I (SFAX) | BIDH EL H'MEM II (SFAX),lacombe 2013; ssr lacombe,,,,
BIEN DONNÉ,2,tier3,BIEN DONNE,BIEN DONNE,lacombe 2013; ssr lacombe,,,,
BLACK ROSE = H 3‐47,2,tier3,BLACK ROSE,BLACK ROSE | BLACK MOROCCO | BLACK MONUKKA | AUTUMN BLACK | CHASSELAS ROSE | OLIVETTE ROSE | BLACK QUEEN | FERNAND ROSE | BLACK ALICANTE | BLACK PRINCE (MERBEIN),lacombe 2013; ssr lacombe,,,,
BLANC D'IRAN (CHARIF),2,tier3,BLANC D'IRAN,BLANC D'IRAN | CHARDONNAY BLANC | CHENIN BLANC | SAUVIGNON BLANC | SAVAGNIN BLANC | CHAOUCH BLANC | PINOT BLANC | SEYVAL BLANC | TERRET BLANC | VILLARD BLANC,lacombe 2013; ssr lacombe,,,,
BLANK BLAUER,2,tier3,FRUEHER BLAUER WAELSCHER X FARBTRAUBE NR. 4,FRUEHER BLAUER WAELSCHER X FARBTRAUBE NR. 4 | BLANK WEISS | BLAUER GROSSER | BLAUER TWANNER | JACOBIN BLAUER,vivc confirmed; laucou 2018,,,,
BOAL DE CALHARIZ,2,tier3,BOAL BRANCO,BOAL BRANCO | BOAL VENCEDOR | BOAL ESPINHO | BOAL BARREIRO | BOAL DE FIGUEIRA | BOAL DURAO | BOAL MOLLE | BOAL PRETO | BOAL DE OEIRAS | BOAL DE ESPANHA,lacombe 2013; ssr lacombe,,,,
BOUQUET RIESLING,2,tier3,RIESLING WEISS,RIESLING WEISS | EMERALD RIESLING | MISSOURI RIESLING | OKANAGAN RIESLING | RIESLING LION | RIESLING FORTE | RIESLING HEILIGENSTEIN | RIESLING ROT | RIESLING BLAU | RIESLING LINNER,lacombe 2013; ssr lacombe,,,,
BOUQUET SYLVANER,2,tier3,MADELEINE SYLVANER,MADELEINE SYLVANER | NEMADEX ALAIN BOUQUET,lacombe 2013; ssr lacombe,,,,
BOURDIER 2‐04‐58,2,tier3,BOURDIER 2-04-58,BOURDIER 2-04-58,lacombe 2013; ssr lacombe,,,,
BOUTEILLAN NOIR,2,tier3,PINOT NOIR,PINOT NOIR | GAMAY NOIR | MERLOT NOIR | GRAND NOIR | ROUMI NOIR | ARAMON NOIR | MANSENG NOIR | CAMARAOU NOIR | CARIGNAN NOIR | JURANCON NOIR,vivc confirmed; oliveira 2020,,,,
BRAGHINA = DINKA VÖRÖS,2,tier3,URMI DINKA,URMI DINKA | ZSITVAI DINKA | FADDY ZSIGA DINKA | BELA DINKA | DINKA ALBA | NOVA DINKA | DINKA ZOELD | PECSI DINKA | BRAGHINA ALBA | BRAGHINA ROSIE,lacombe 2013; ssr lacombe,,,,
BREIDER 5‐6,2,tier3,BREIDER 5-6,BREIDER 5-6 | BREIDER 2 | BREIDER 3-1 | BREIDER 19975,lacombe 2013; ssr lacombe,,,,
BURDIN  7419,2,tier3,BURDIN 7419,BURDIN 7419 | BURDIN 4650 | BURDIN 4655 | BURDIN 4672 | BURDIN 4716 | BURDIN 4727 | BURDIN 4795 | BURDIN 5201 | BURDIN 5400 | BURDIN 5406,vivc confirmed; node profile,,,,
CAINHO BRANCO,2,tier3,BOAL BRANCO,BOAL BRANCO | DONZELINHO BRANCO | CARREGA BRANCO | CASTELO BRANCO | CERCEAL BRANCO | BASTARDO BRANCO | CAINHO DA TERRA | CASTELAO BRANCO | ROUPEIRO BRANCO | VERDELHO BRANCO,lacombe 2013; ssr lacombe,,,,
CALABRESE MONTENUOVO,2,tier3,CALABRESE DI MONTENUOVO,CALABRESE DI MONTENUOVO | CALABRESE FAUX | CALABRESE | AGLIANICO CALABRESE,marker support; oliveira 2020,,,,
CARDINAL = G 10‐30,2,tier3,CARDINAL,CARDINAL | FRUMOASA DE GHIOROC X CARDINAL | CARDINAL (4N) | CARDINAL EARLY | ROBIN CARDINAL | DUNAVSKI MISKET X CARDINAL,lacombe 2013; ssr lacombe,,,,
CASTEL   196- 17,2,tier3,CASTEL 196- 1,CASTEL 196- 1 | CASTEL 196- 17 | CASTEL 196- 36 | CASTEL 19637 | BEL CASTEL | CASTEL 10221 | CASTEL 11013 | CASTEL 13012 | CASTEL 15204 | CASTEL 15428,vivc confirmed; node profile,,,,
CASTEL   215-  1,2,tier3,CASTEL 215- 1,CASTEL 215- 1 | CASTEL 19637 | BEL CASTEL | CASTEL 10221 | CASTEL 11013 | CASTEL 13012 | CASTEL 15204 | CASTEL 15428 | CASTEL 20023 | CASTEL 20035,vivc confirmed; node profile,,,,
CASTEL   216-  3,2,tier3,CASTEL 216- 3,CASTEL 216- 3 | CASTEL 19637 | BEL CASTEL | CASTEL 10221 | CASTEL 11013 | CASTEL 13012 | CASTEL 15204 | CASTEL 15428 | CASTEL 20023 | CASTEL 20035,vivc confirmed; node profile,,,,
CASTEL   227-  1,2,tier3,CASTEL 227- 1,CASTEL 227- 1 | CASTEL 227- 4 | CASTEL 19637 | BEL CASTEL | CASTEL 10221 | CASTEL 11013 | CASTEL 13012 | CASTEL 15204 | CASTEL 15428 | CASTEL 20023,vivc confirmed; node profile,,,,
CASTEL   228-  1,2,tier3,CASTEL 228- 1,CASTEL 228- 1 | CASTEL 19637 | BEL CASTEL | CASTEL 10221 | CASTEL 11013 | CASTEL 13012 | CASTEL 15204 | CASTEL 15428 | CASTEL 20023 | CASTEL 20035,vivc confirmed; node profile,,,,
CASTEL 156-12,2,tier3,CASTEL 19637,CASTEL 19637 | BEL CASTEL | CASTEL 10221 | CASTEL 11013 | CASTEL 13012 | CASTEL 15204 | CASTEL 15428 | CASTEL 20023 | CASTEL 20035 | CASTEL 20415,vivc confirmed; oliveira 2020,,,,
CHASSELAS IMPÉRIAL OBERLIN,2,tier3,CHASSELAS OBERLIN,CHASSELAS OBERLIN | CHASSELAS ROSE | CHASSELAS ROUGE | MADELEINE ANGEVINE OBERLIN | CHASSELAS CIOUTAT | CHASSELAS DES BOUCHES DU RHONE | OBERLIN 477 | OBERLIN 604 | OBERLIN 605 | OBERLIN 782,lacombe 2013; ssr lacombe,,,,
CHIRVAN CHAKHI FAUX,2,tier3,CEAUS ROZ FAUX,CEAUS ROZ FAUX | DIAGALVES FAUX | KARASAKIS FAUX | KIZIL SAPAK FAUX | GORA CHIRINE FAUX | PETIT VERDOT FAUX | ZRINYI ILONA FAUX | ALICANTE BLANC FAUX | CATARRATTO BIANCO FAUX | SAUVIGNON PICCOLO FAUX,vivc confirmed; lacombe 2013,,,,
