child_variety,vivc_no,source_code,author,year,title,doi,n_loci
ANUSHIK,17702,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
APESORGIA BIANCA,26701,40845,"LOVICU, G.",2017,AKINAS. Uve di Sardegna,,22
APIRENA BRUNI,511,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
ARAGATSI,525,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
ARAGATSI,525,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ARAGATSI,525,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
ARAGATSI,525,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
ARAMON BOUSCHET 4,14778,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ARAMON NOIR,544,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
ARAMON NOIR,544,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ARAMON NOIR,544,40902,"RIAZ, S.; PAP, D.; URETSKY, J.; LAUCOU, V.; BOURSIQUOT, J. M.; KOCSIS, L.; WALKER, M. A.",2019,Genetic diversity and parentage analysis of grape rootstocks,10.1007/s00122-019-03320-5,35
ARAMON PETIT,546,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,21
ARANEL,9314,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ARDONA,17386,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ARENI SPITAK,577,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
ARENI SPITAK,577,40928,"NEBISH, A.; TELLO, J.; FERRADAS, Y.; AROUTIOUNIAN, R.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2021,SSR and SNP genetic profiling of Armenian grape cultivars gives insights into their identity and pedigree relationships,10.20870/oeno-one.2021.55.4.4815,
AREVABUYR,26997,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
AREVSHAT,5755,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
ARINARNOA,599,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
ARINARNOA,599,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ARKADIA,17380,40858,"KARASTAN, O. M.; MULIUKINA, N. A.; PAPINA, O. S.",2018,Verification of grape pedigree by microsatellite analysis,10.3103/S0095452718050031,9
ARMAS,614,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ARMAS,614,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
ARMSKHI,5756,1384,"MARGARYAN, K.; MAUL, E.",2022,"Progenitors of Nrneni, Haghtanak and Armskhi are Semenac 1-17-1 (Cabernet Sauvignon x Alicante Henri Bouschet) and Saperavi",,24
ARNSBURGER,630,684,"MAUL, E.; SCHUMANN, F.; HILL, B.H.E.; DOERNER, F.; BENNEK, H.; LAUCOU, V.; BOURSIQUOT, J.M.; LACOMBE, T.; ZYPRIAN, E.; EIBACH, R.; TOEPFER, R.",2013,Die Kreuzungseltern deutscher Rebenneuzüchtungen im Fokus - Was sagt der genetische Fingerabdruck?,,20
AROMATICA,634,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AROMATICA ROSE,24162,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AROMATNY,20856,40858,"KARASTAN, O. M.; MULIUKINA, N. A.; PAPINA, O. S.",2018,Verification of grape pedigree by microsatellite analysis,10.3103/S0095452718050031,9
AROMELLA,22529,40144,"BAUTISTA, J.; DANGL, G. S.; YANG, J.; REISCH, B.; STOVER, E.",2008,Use of genetic markers to assess pedigrees of grape cultivars and breeding program selections,,15
AROMRIESLING,637,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,17
ARPA,16460,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
ARPAD,638,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ARRILOBA,643,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ARTABAN,25804,40828,"RÖCKEL, F.; TRAPP, O.; ZYPRIAN, E.; HAUSMANN, L.; MIGLIARO, D.; VEZZULLI, S.; TÖPFER, R.; MAUL, E.",2021,"A 'Regent' pedigree update: ancestors, offspring and their confirmed resistance loci",10.5073/vitis.2021.60.189-193,24
ARTASHATI KARMIR,5758,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
ARTURO MARESCALCHI,660,40347,"GHAFFARI, S.; HASNAOUI, N.; ZINELABIDINE, L. H.; FERCHICHI, A.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2014,Genetic diversity and parentage of Tunisian wild and cultivated grapevines (,10.1007/s11295-014-0746-9,
ARTURO MARESCALCHI,660,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
ASPIRAN BOUSCHET,695,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ASPROUDA ZAKYNTHOU,708,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ASSARIO BLANC FEMELLE,24164,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ASSELI,718,40347,"GHAFFARI, S.; HASNAOUI, N.; ZINELABIDINE, L. H.; FERCHICHI, A.; MARTINEZ-ZAPATER, J. M.; IBANEZ, J.",2014,Genetic diversity and parentage of Tunisian wild and cultivated grapevines (,10.1007/s11295-014-0746-9,
ATHENS,741,40144,"BAUTISTA, J.; DANGL, G. S.; YANG, J.; REISCH, B.; STOVER, E.",2008,Use of genetic markers to assess pedigrees of grape cultivars and breeding program selections,,15
ATOMIC,24165,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ATTIKA SEEDLESS,17309,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
ATTIKA SEEDLESS,17309,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
ATTIKA SEEDLESS,17309,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
ATTILA,756,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUBIN BLANC,759,40121,"BOURSIQUOT, J.-M.; LACOMBE, T.; BOWERS, J.; MEREDITH, C.",2004,"Le Gouais, un cépage clé du patrimoine viticole Européen",,14
AUBIN VERT,760,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
AUBIN VERT,760,40121,"BOURSIQUOT, J.-M.; LACOMBE, T.; BOWERS, J.; MEREDITH, C.",2004,"Le Gouais, un cépage clé du patrimoine viticole Européen",,14
AUBIN VERT,760,40016,"BOWERS, J.E.; BOURSIQUOT, J.-M.; THIS, P.; CHU, K.; JOHANSSON, H.; MEREDITH, C.",1999,"Historical genetics: The parentage of Chardonnay, Gamay and other wine grapes of northeastern France",10.1126/science.285.5433.1562,32
AUBIN VERT,760,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUBIN VERT,760,40055,"SEFC, K.M.; LEFORT, F.; GRANDO, M.S.; SCOTT, K.D.; STEINKELLER, H.; THOMAS, M.R.",2001,Microsatellite markers for grapevine: A state of the art,,
AUGSTER BLAU,765,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
AUGSTER BLAU,765,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUGSTER BLAU,765,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
AUGSTER WEISS,767,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
AUGSTER WEISS,767,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUGSTER WEISS,767,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
AUGUSTA,14781,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUGUSTA LUISE,774,684,"MAUL, E.; SCHUMANN, F.; HILL, B.H.E.; DOERNER, F.; BENNEK, H.; LAUCOU, V.; BOURSIQUOT, J.M.; LACOMBE, T.; ZYPRIAN, E.; EIBACH, R.; TOEPFER, R.",2013,Die Kreuzungseltern deutscher Rebenneuzüchtungen im Fokus - Was sagt der genetische Fingerabdruck?,,20
AUGUSTRIESLING,778,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
AURORA INTA,783,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AURORE,784,,,,,,
AUTOFECONDATION CHASSELAS ROSE 18 FAUX,24166,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUTOFECONDATION CHASSELAS ROSE 59,24167,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUTOFECONDATION SAUVIGNON 106,24169,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUTOFECONDATION SYRAH 1992,24170,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUTOFECONDATION VIOGNIER 1992,24171,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUTUMN BLACK,14166,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUXERROIS,792,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
AUXERROIS,792,40121,"BOURSIQUOT, J.-M.; LACOMBE, T.; BOWERS, J.; MEREDITH, C.",2004,"Le Gouais, un cépage clé du patrimoine viticole Européen",,14
AUXERROIS,792,40016,"BOWERS, J.E.; BOURSIQUOT, J.-M.; THIS, P.; CHU, K.; JOHANSSON, H.; MEREDITH, C.",1999,"Historical genetics: The parentage of Chardonnay, Gamay and other wine grapes of northeastern France",10.1126/science.285.5433.1562,32
AUXERROIS,792,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
AUXERROIS,792,40055,"SEFC, K.M.; LEFORT, F.; GRANDO, M.S.; SCOTT, K.D.; STEINKELLER, H.; THOMAS, M.R.",2001,Microsatellite markers for grapevine: A state of the art,,
AYVAZYANI MUSKATENI,17701,,,,,,
AZATENI,820,40926,"MARGARYAN, K.; MELYAN, G.; RÖCKEL, R.; TÖPFER, R.; MAUL, E.",2021,Genetic diversity of Armenian Grapevine (Vitis vinifera L.) Germplasm: Molecular Characterization and Parentage Analysis,10.3390/biology10121279,24
AZOUGAH,831,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BACCHUS NOIR,854,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BACHET NOIR,858,577,ANONYMOUS,2007,Catalogue des variétés et clones de vigne cultivés en France 2ème édition,,
BACHET NOIR,858,40121,"BOURSIQUOT, J.-M.; LACOMBE, T.; BOWERS, J.; MEREDITH, C.",2004,"Le Gouais, un cépage clé du patrimoine viticole Européen",,14
BACHET NOIR,858,40016,"BOWERS, J.E.; BOURSIQUOT, J.-M.; THIS, P.; CHU, K.; JOHANSSON, H.; MEREDITH, C.",1999,"Historical genetics: The parentage of Chardonnay, Gamay and other wine grapes of northeastern France",10.1126/science.285.5433.1562,32
BACHET NOIR,858,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BACHET NOIR,858,40055,"SEFC, K.M.; LEFORT, F.; GRANDO, M.S.; SCOTT, K.D.; STEINKELLER, H.; THOMAS, M.R.",2001,Microsatellite markers for grapevine: A state of the art,,
BACO BLANC,868,40482,"RÖCKEL, F.; MAUL, E.; TÖPFER, R.",2014,BÖLN-Projekt: Weiterentwicklung von Wissenstransfer- und Informationssystemen zur nachhaltigen Nutzung rebengenetischer Ressourcen,,25
BAKARKA,903,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BAKATOR TUEDOESZINUE FAUX,41915,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BALATON KINCSE,14784,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BALOUTI (ABBAYE DE LATROUN),24990,40895,"D’ONOFRIO, C.; TUMINO, G.; GARDIMAN, M.; CRESPAN, M.; BIGNAMI, C.; DE PALMA, L.; BARBAGALLO, M. G.; MUGANU, M.;  MORCIA, C.; NOVELLO, V.; SCHNEIDER, A.; TERZI, V.",2021,Parentage Atlas of Italian Grapevine Varieties as Inferred From SNP Genotyping,10.3389/fpls.2020.605934,
BALOUTI (ABBAYE DE LATROUN),24990,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BALOUTI (ABBAYE DE LATROUN),24990,1083,"LAUCOU, V.; LAUNAY, A.; BACILIERI, R.; LACOMBE, T.; ADAM-BLONDON, A. F.; BERARD, A.; CHAUVEAU, A.; ANDRES, M. T. DE; HAUSMANN, L.; IBANEZ, J.; PASLIER, M. C. LE; MAGHRADZE, D.; MARTINEZ-ZAPATER, J. M.",2018,Extended diversity analysis of cultivated grapevine,10.1371/journal.pone.0192540,
BALOUZME,14785,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,19
BALSAMINA,24401,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BALZAC BLANC,947,40038,"BOWERS, J.E.; SIRET, R.; MEREDITH, C.P.; THIS, P.; BOURSIQUOT, J.-M.",2000,A single pair of parents proposed for a group of grapevine varieties in northeastern France,,32
BALZAC BLANC,947,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BARBABLEU,967,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
BARCA,17359,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
BARCA,17359,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BARCELO,980,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,19
BARLINKA FAUX,41916,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,19
BARONE DELL'ATERNO,1003,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,19
BARRETO,17655,40860,"CUNHA, J.; IBANEZ, J.; TEIXEIRA-SANTOS, M.; BRAZAO, J.; FEVEREIRO, P.;  MARTINEZ-ZAPATER, J. M.; EIRAS-DIAS, J. E.",2020,Genetic Relationships Among Portuguese Cultivated and Wild Vitis vinifera L. germplasm,10.3389/fpls.2020.00127,
BASERRI,1021,40306,"LACOMBE, T.; BOURSIQUOT, J.M.; LAUCOU, V.; DI VECCHI-STARAZ, M.; PEROS, J.P.; THIS, P.",2013,Large-scale parentage analysis in an extended set of grapevine cultivars (,10.1007/s00122-012-1988-2,20
BASILE LOGOTHETIS,1023,40151,"IBANEZ, J.; VARGAS, A. M.; PALANCAR, M.; BORREGO, J.; ANDRES, M. T. DE",2009,Genetic relationships among table-grape varieties,,25
